node1,node2,weight
K00R,KDWH,2
K00V,K00V,95
K00V,K1V6,2
K00V,K4V1,4
K00V,KAPA,24
K00V,KBJC,4
K00V,KCOS,10
K00V,KFNL,2
K00V,KFTG,2
K00V,KGNT,2
K00V,KLMO,6
K01G,KROC,4
K02C,K02C,3
K02C,KC29,6
K02C,KFCM,2
K02C,KMWC,5
K02C,KOSH,2
K02C,KRYV,2
K02C,KUES,19
K02G,K4G4,2
K02G,KDTW,2
K02G,KMDW,2
K02G,KORD,3
K02G,PN43,3
K04A,KDTS,2
K04G,KGKJ,2
K05C,K05C,9
K05C,K1C2,2
K05C,K1C5,2
K05C,K3CK,2
K05C,K8N2,3
K05C,KC62,2
K05C,KGYY,3
K05C,KJOT,2
K05C,KMDW,3
K05C,KPTK,2
K05C,KPWK,2
K06C,K06C,233
K06C,K3CK,7
K06C,KARR,4
K06C,KBUU,7
K06C,KDKB,3
K06C,KDPA,4
K06C,KEFT,3
K06C,KGYY,16
K06C,KJOT,3
K06C,KJVL,4
K06C,KLOT,6
K06C,KMDW,8
K06C,KRYV,2
K06C,PANC,2
K06M,K5A6,2
K06M,KGKY,2
K06M,KRNV,2
K07F,KDFW,8
K07F,KFTW,2
K07V,KAPA,2
K07V,KBJC,2
K07V,KCOS,3
K08C,K08C,5
K08C,K3GM,4
K08C,K9D9,2
K08C,KGRR,2
K08C,KYIP,2
K08K,KDFW,10
K08K,KMLE,3
K08K,KOMA,3
K09M,KRNV,2
K0A4,KNIP,2
K0A7,KCLT,22
K0A7,KDTW,2
K0A7,KIAD,4
K0A7,KORD,13
K0A7,KPHL,4
K0A9,KCLT,6
K0A9,KRDU,2
K0B5,K8B1,2
K0C0,K0C0,3
K0C4,KFMZ,2
K0C4,KLNK,4
K0C4,KMLE,4
K0C4,KOMA,4
K0E0,KABQ,19
K0E8,KABQ,13
K0E8,KAEG,5
K0F2,K50F,2
K0F2,KADS,9
K0F2,KAFW,2
K0F2,KDFW,8
K0F2,KDTO,6
K0F2,KF48,2
K0F2,KFTW,2
K0F2,KLUD,2
K0F2,KT31,2
K0F7,KGCM,2
K0F7,KRVS,5
K0F9,KADS,2
K0G7,K0G7,6
K0G7,K7G0,2
K0G7,KITH,2
K0G7,KJFK,3
K0G7,KPEO,2
K0G7,KROC,8
K0G7,KVLL,2
K0I8,KI69,2
K0J4,K1A4,2
K0J4,K54J,2
K0J4,K82J,2
K0J4,KCEW,5
K0J4,KDTS,2
K0J4,KECP,2
K0J4,KNGS,2
K0J4,KNKL,2
K0J9,KCEK,2
K0J9,KLNK,10
K0J9,KOMA,5
K0K7,KMSP,2
K0K7,KPOH,2
K0L7,K61B,7
K0L7,K67L,2
K0L7,KHND,45
K0L7,KLAS,4
K0L7,KVGT,95
K0L9,K1G4,2
K0L9,K61B,4
K0L9,KHND,21
K0L9,KVGT,9
K0R0,KHBG,4
K0R0,KPIB,3
K0R1,K0R1,32
K0R1,K79J,2
K0R1,KNDZ,2
K0R1,KNSE,63
K0S9,KAWO,7
K0S9,KBFI,4
K0S9,KCLM,3
K0S9,KPAE,2
K0S9,KPWT,6
K0S9,KRNT,8
K0V4,KCLT,2
K0V4,KRDU,2
K0W3,K0W3,45
K0W3,K33N,2
K0W3,KAPG,4
K0W3,KCGS,3
K0W3,KDMW,2
K0W3,KEDG,2
K0W3,KEVY,5
K0W3,KFDK,4
K0W3,KHEF,2
K0W3,KHWY,2
